Samples	DBS1	DBS19
TCGA-GN-A266	117	0
TCGA-GN-A267	43	0
TCGA-GN-A268	10	0
TCGA-GN-A26A	17	0
TCGA-GN-A4U3	12	0
TCGA-GN-A4U4	27	0
TCGA-GN-A4U7	21	0
TCGA-GN-A4U8	15	0
TCGA-GN-A8LK	64	0
TCGA-GN-A8LL	1	0
TCGA-GN-A9SD	9	0
TCGA-HR-A2OH	4	0
TCGA-LH-A9QB	9	0
TCGA-OD-A75X	34	0
TCGA-QB-A6FS	36	0
TCGA-QB-AA9O	37	0
TCGA-RP-A693	59	0
TCGA-RP-A694	19	0
TCGA-RP-A695	30	0
TCGA-W3-A824	64	0
TCGA-W3-A825	30	0
TCGA-W3-A828	79	0
TCGA-W3-AA1O	26	0
TCGA-W3-AA1Q	21	0
TCGA-W3-AA1R	51	0
TCGA-W3-AA1V	192	0
TCGA-W3-AA1W	11	9
TCGA-W3-AA21	12	0
TCGA-WE-A8JZ	9	0
TCGA-WE-A8K1	11	0
TCGA-WE-A8K5	16	0
TCGA-WE-A8K6	13	0
TCGA-WE-A8ZN	4	0
TCGA-WE-A8ZO	5	0
TCGA-WE-A8ZQ	4	0
TCGA-WE-A8ZT	28	0
TCGA-WE-A8ZX	11	0
TCGA-WE-A8ZY	10	0
TCGA-WE-AA9Y	0	3
TCGA-WE-AAA0	48	0
TCGA-WE-AAA3	7	0
TCGA-WE-AAA4	4	0
TCGA-YD-A89C	42	0
TCGA-YD-A9TA	129	0
TCGA-YD-A9TB	4	0
TCGA-YG-AA3O	43	0
TCGA-Z2-A8RT	97	0
TCGA-Z2-AA3S	7	0
TCGA-Z2-AA3V	36	0
