Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS19	SBS31	SBS87
TCGA-GN-A268	19	34	216	140	0	0	0	0	0
TCGA-GN-A26A	16	25	120	231	0	0	0	0	0
TCGA-GN-A26D	3	39	0	0	0	0	0	0	0
TCGA-GN-A4U3	10	0	132	199	35	0	0	0	0
TCGA-GN-A4U4	27	23	374	389	0	0	0	0	0
TCGA-GN-A4U7	0	2	100	94	0	0	47	0	56
TCGA-GN-A4U8	18	34	235	181	0	0	0	0	0
TCGA-GN-A4U9	6	49	0	0	0	15	0	0	0
TCGA-GN-A8LK	79	81	998	1213	0	0	0	0	0
TCGA-GN-A8LL	0	42	0	0	0	8	0	0	0
TCGA-GN-A9SD	6	0	74	30	15	0	0	44	0
TCGA-HR-A2OH	6	2	24	81	22	0	0	0	0
TCGA-LH-A9QB	4	0	94	172	33	0	0	0	0
TCGA-OD-A75X	61	5	600	574	0	0	0	0	0
TCGA-QB-A6FS	55	0	679	665	0	0	0	0	0
TCGA-QB-AA9O	41	104	670	805	202	0	0	0	0
TCGA-RP-A690	7	5	0	5	0	0	0	0	0
TCGA-RP-A693	41	26	317	544	0	0	0	0	0
TCGA-RP-A694	18	23	346	347	117	0	0	0	0
TCGA-RP-A695	34	43	452	523	0	0	0	0	0
TCGA-RP-A6K9	17	39	0	0	0	0	0	0	0
TCGA-W3-A824	129	89	694	839	0	0	0	0	0
TCGA-W3-A825	25	0	606	544	168	0	0	0	0
TCGA-W3-A828	34	183	391	1024	0	0	0	0	0
TCGA-W3-AA1O	38	0	441	415	0	0	0	0	0
TCGA-W3-AA1Q	25	0	506	429	132	0	0	0	0
TCGA-W3-AA1R	41	78	908	892	190	0	0	0	0
TCGA-W3-AA1V	127	130	2909	2776	543	0	0	0	0
TCGA-W3-AA1W	26	0	436	290	83	0	0	0	0
TCGA-W3-AA21	30	34	319	228	0	0	0	0	0
TCGA-WE-A8JZ	13	24	112	91	0	0	0	0	0
TCGA-WE-A8K1	12	23	167	145	64	0	0	0	0
TCGA-WE-A8K5	37	0	591	561	166	0	0	0	0
TCGA-WE-A8K6	14	18	103	179	0	0	0	0	0
TCGA-WE-A8ZM	10	38	25	15	0	0	0	0	0
TCGA-WE-A8ZN	10	16	83	93	0	0	0	0	0
TCGA-WE-A8ZO	12	0	185	169	57	0	0	0	0
